#xi    den_contrast    shot_noise
-60.0   1.5131736464693488   0.06405774842498288
-58.0   1.143360921929727   0.04961763776135398
-56.0   1.0864818283162339   0.044466741062723955
-54.0   1.0021819737077777   0.04005524755770026
-52.0   0.9412266648664452   0.036917947160522005
-50.0   0.8301806962257041   0.033314003776823066
-48.0   0.7722598959741985   0.03111523791859303
-46.0   0.7855536138695665   0.03057763294898631
-44.0   0.7531966515242333   0.02931813989788051
-42.0   0.7412018159732229   0.028592480800663563
-40.0   0.8594606205513635   0.030367547857779863
-38.0   0.8761856056725286   0.030321653210181102
-36.0   1.1273981027682274   0.034085419128853
-34.0   1.3261292579629045   0.03669562325848507
-32.0   1.5606408148059585   0.03956381517214576
-30.0   1.8775644347040836   0.043165252342131234
-28.0   1.8604349488463878   0.042760146285392396
-26.0   1.7095521578369641   0.04079623640160804
-24.0   1.2647223231927798   0.03491630405277599
-22.0   0.927693829791557   0.029740498786524246
-20.0   0.7474820434123507   0.026527145101464183
-18.0   0.8263275904542254   0.027683015873284124
-16.0   0.8673232515534197   0.028110108059014857
-14.0   0.9678643568593591   0.02938323628279379
-12.0   1.0216281386484778   0.029816646587021836
-10.0   1.0501480745791476   0.029798180224974158
-8.0   1.043887267199407   0.029223233159356033
-6.0   0.9575718430503333   0.027471554080970986
-4.0   0.8564988463766221   0.025445549116769207
-2.0   0.931388015526949   0.025931986705046713
0.0   1.0761341855474962   0.02718516226580189
2.0   0.961707832913975   0.025015312710797925
4.0   0.9527847627388495   0.024192954253877113
6.0   0.7671113446342703   0.02105828233166369
8.0   0.7908589286178688   0.020711915236578622
10.0   1.2047805228415802   0.02473199037184911
12.0   1.3860784151100696   0.025637365371529677
14.0   1.1398083998129067   0.022448658674702002
