#xi    den_contrast    shot_noise
-60.0   0.9677092435187591   0.0447802433300848
-58.0   1.0527733523437324   0.04670926435710174
-56.0   1.0072226919368676   0.045688549122181815
-54.0   1.0049996596503543   0.04563468376876192
-52.0   0.9796686168896996   0.04504521099578175
-50.0   0.9953096521364003   0.04538221380457689
-48.0   0.9896637312070653   0.04521889006279164
-46.0   0.9668327616363315   0.044644188885256536
-44.0   1.0131733221676267   0.04563103150278865
-42.0   1.007020431117081   0.04539998721139893
-40.0   0.9855554483943313   0.04479797492701506
-38.0   0.965146963484882   0.04419104373254939
-36.0   1.1063604825753062   0.04713254118038049
-34.0   1.0426399841716054   0.045547939190386605
-32.0   1.0041092568405847   0.04446270522833123
-30.0   1.009489658711634   0.04431167791567769
-28.0   0.9956647436496741   0.04370483149763809
-26.0   0.9633671110833992   0.04265861269076084
-24.0   0.9060765381610274   0.041016157677015566
-22.0   1.0202181948832416   0.04311208740785093
-20.0   0.972508027209521   0.041657666959274434
-18.0   1.020650647246685   0.042198710713182125
-16.0   1.042166922648741   0.042127100996134
-14.0   1.0187596138972022   0.04111379201663271
-12.0   1.1152439011819948   0.04242587746089094
-10.0   1.0548464217492   0.040661341415421506
-8.0   0.8784266118645014   0.03653773023671249
-6.0   0.8813734907205866   0.036011944553057305
-4.0   0.827937817468059   0.0343191266839162
-2.0   1.1194287715905342   0.03921187961136349
0.0   1.642425015368131   0.046641736217087365
2.0   1.1699268349401424   0.03863438779786574
4.0   0.8679107727232388   0.032641144049779094
6.0   0.7835583419713441   0.030407960952132065
8.0   0.9905669107401902   0.033506425570676734
10.0   1.114875769584452   0.034822868594891726
12.0   1.0295552648587596   0.03277110514956431
14.0   0.9857715610856161   0.031393361959123206
