#xi    den_contrast    shot_noise
-60.0   1.0335760213836616   0.03315196634298886
-58.0   0.9675621688400722   0.032162854773009945
-56.0   0.9734633789191928   0.03234115452554225
-54.0   0.9961194330294779   0.032787670516146346
-52.0   0.9868547710273422   0.03269595723035238
-50.0   0.9832522969826373   0.03268441228018719
-48.0   1.0037715201307102   0.033057454497563456
-46.0   1.0854432979832815   0.03439358702506363
-44.0   1.0602593835078555   0.033990355326284076
-42.0   0.9967971492374307   0.03293510485483511
-40.0   0.9941099801629567   0.03284631828948611
-38.0   0.9489307869803744   0.03202486289385762
-36.0   0.9736520918963405   0.03234742409426674
-34.0   0.9591143411560429   0.03198825423008818
-32.0   1.0710854840346264   0.03365266101507498
-30.0   1.0146905477133714   0.03257975001357868
-28.0   1.0124135221651338   0.032340363670017566
-26.0   1.0173615656333028   0.03218789548640434
-24.0   0.9850093755610781   0.03141691994035026
-22.0   1.0087503792186967   0.03150806830582836
-20.0   0.9754002336774203   0.030676603814962056
-18.0   0.943140781193981   0.02983965378635084
-16.0   0.9904128639163439   0.030221368878357028
-14.0   1.0187878731419255   0.030266960633129086
-12.0   1.0223591234497358   0.029914521163746884
-10.0   0.9595544364633202   0.028570317579173984
-8.0   1.0053855047227545   0.02880772584276729
-6.0   1.0085211508777254   0.028400596878713553
-4.0   0.9510502145334936   0.027128607765371807
-2.0   0.9840682550163252   0.027126719554292977
0.0   1.1446341991894462   0.02874187697027311
2.0   1.0255873095992676   0.026713075805744186
4.0   1.0219159926980368   0.026168587051716943
6.0   0.9813629522073121   0.02515488478652914
8.0   0.9627106553809732   0.024429245322649
10.0   0.9975330809913099   0.024373612446348305
12.0   0.994870778775637   0.023850201407155106
14.0   0.9957541670308395   0.02337296548986109
