#xi    den_contrast    shot_noise
-60.0   0.9648738538907423   0.03153788852015621
-58.0   1.0068113885550782   0.03234344163576976
-56.0   1.001580639032406   0.03237650399526879
-54.0   1.021801565451995   0.03280807103301516
-52.0   0.9851912492051551   0.032305693720850376
-50.0   1.0557584194286114   0.03352036333723851
-48.0   0.961245036622347   0.0320415012207449
-46.0   1.009525261326827   0.032874665637562715
-44.0   1.0759235188894172   0.03395584516421468
-42.0   0.9555163047262563   0.03199305222707922
-40.0   0.9975196745289878   0.03265732801318551
-38.0   0.9769618437629487   0.03226212238954824
-36.0   1.0047350392925112   0.03263227704997577
-34.0   1.0135378337416332   0.03266080023021113
-32.0   1.0182241660035865   0.03259256132184358
-30.0   1.0156808924388183   0.03237872424611899
-28.0   0.9499928798125509   0.031118051419325353
-26.0   1.049850677925742   0.03247651261625868
-24.0   0.9546775061544094   0.030716245267791785
-22.0   1.0091268774910802   0.0312916961041107
-20.0   1.0307375834833623   0.03130642457327122
-18.0   0.9840090398628906   0.030252150645039725
-16.0   0.9798005088502902   0.02982819257719035
-14.0   0.9584745128668887   0.029125027263952292
-12.0   0.9601193684430586   0.028753306718154157
-10.0   1.0355346616044914   0.02943095250882992
-8.0   1.0238316260559643   0.028820324292478272
-6.0   0.9444285203441491   0.02724061196325524
-4.0   1.0448972576103928   0.028178783494765824
-2.0   0.9447314579059687   0.026334137775873886
0.0   1.1948106159753331   0.029089853319013623
2.0   0.9713617358146541   0.025750077564782415
4.0   1.002347697628409   0.02566749436245266
6.0   0.9990797768544362   0.02513457954564585
8.0   0.988372959971866   0.024510974874555173
10.0   0.9868388517491502   0.024005065039019637
12.0   1.0399257922242537   0.024145176962077734
14.0   0.9564553484164073   0.022682912721597958
