#xi    den_contrast    shot_noise
-60.0   1.1746509079646874   0.04603819885250277
-58.0   1.1166334163962934   0.041701439101905775
-56.0   1.0462105702340814   0.03815137398305042
-54.0   0.9796361954137625   0.035326584723840086
-52.0   0.9150747712158064   0.03297700570223551
-50.0   0.8898008122573164   0.03163767468599765
-48.0   0.9006283348344793   0.03114888228863137
-46.0   0.9030824502266492   0.030670287984634278
-44.0   0.8354256115053506   0.029121106164629578
-42.0   0.9210987796176046   0.030285541315466936
-40.0   0.9006778914923995   0.029743004350064117
-38.0   0.9586030248832408   0.030543632089746732
-36.0   1.0520401710257015   0.031909320136085356
-34.0   1.1757287698463863   0.03368864172805909
-32.0   1.2513803391176948   0.03474716201953713
-30.0   1.3626429315049053   0.036275930472776094
-28.0   1.311665270436463   0.035619939289353884
-26.0   1.3244278524984694   0.035821523125078275
-24.0   1.0627687878996108   0.03210210524359439
-22.0   0.8692492763073463   0.029023388568778806
-20.0   0.7952740039834005   0.027721509109877616
-18.0   0.817613167517654   0.02802741841410242
-16.0   0.9061587562556945   0.029368773996716967
-14.0   1.0348623192957491   0.031173945853694714
-12.0   1.0807349630421919   0.03156860534288865
-10.0   1.0693186143908187   0.0310371451654163
-8.0   1.119530834619637   0.031304068655019945
-6.0   0.9929225744137216   0.028978862630717472
-4.0   0.9060776020075026   0.02713488349185035
-2.0   0.9488861857674808   0.027144292162537654
0.0   1.1890537723249106   0.029624683886823624
2.0   0.9689835990056361   0.026008882531999324
4.0   1.064888533217896   0.02645736831928065
6.0   0.8081712961281484   0.022320405263809507
8.0   0.8070909660134822   0.02156271379677518
10.0   1.0004909628754333   0.023173424438613525
12.0   1.180287859365734   0.02426501531601869
14.0   1.163734675073907   0.023205182066497843
